player,pos,team,age,qb_name,draft_round,draft_pick,games,target_share,rush_share,rz_share,air_yards_share,rec_pg
Ashton Jeanty,RB,LV,21,Geno Smith,1,6,17,0.08,0.62,0.24,0.04,2.5
Omarion Hampton,RB,LAC,21,Justin Herbert,1,22,17,0.07,0.50,0.18,0.03,2.0
Tetairoa McMillan,WR,CAR,22,Bryce Young,1,8,17,0.22,0.00,0.18,0.26,4.0
Travis Hunter,WR,JAX,22,Trevor Lawrence,1,2,17,0.20,0.01,0.16,0.24,4.5
Colston Loveland,TE,CHI,21,Caleb Williams,1,10,16,0.12,0.00,0.14,0.10,3.0
Tyler Warren,TE,IND,23,Daniel Jones,1,14,16,0.15,0.00,0.16,0.11,3.5
Matthew Golden,WR,GB,22,Jordan Love,1,23,16,0.16,0.00,0.13,0.20,3.5
Cam Ward,QB,TEN,23,Cam Ward,1,1,17,0.00,0.05,0.00,0.00,0.0
TreVeyon Henderson,RB,NE,22,Drake Maye,2,38,16,0.09,0.45,0.16,0.04,2.5
Quinshon Judkins,RB,CLE,21,Dillon Gabriel,2,36,16,0.06,0.52,0.18,0.03,1.5
