team,player_name,direction,pos,target_share,rush_share
CHI,DJ Moore,out,WR,0.20,0.00
CHI,Colston Loveland,stay,TE,0.12,0.00
DET,David Montgomery,out,RB,0.06,0.42
MIA,Tyreek Hill,out,WR,0.26,0.00
MIA,Jaylen Waddle,out,WR,0.22,0.00
MIA,Tutu Atwell,in,WR,0.12,0.00
GB,Romeo Doubs,out,WR,0.12,0.00
PHI,AJ Brown,out,WR,0.26,0.00
PHI,DeVonta Smith,stay,WR,0.24,0.00
IND,Michael Pittman,out,WR,0.24,0.00
BUF,DJ Moore,in,WR,0.20,0.00
DEN,Jaylen Waddle,in,WR,0.22,0.00
PIT,Michael Pittman,in,WR,0.24,0.00
NE,AJ Brown,in,WR,0.26,0.00
