player,pos,team,age,qb_name,prior_ppg,games,target_share,rush_share,rz_share,air_yards_share,rec_pg
Ja'Marr Chase,WR,CIN,26,Joe Burrow,24.2,17,0.30,0.00,0.28,0.34,7.5
Tee Higgins,WR,CIN,27,Joe Burrow,14.5,12,0.24,0.00,0.22,0.26,6.0
Amon-Ra St. Brown,WR,DET,27,Jared Goff,21.0,16,0.27,0.01,0.26,0.22,7.2
Jahmyr Gibbs,RB,DET,24,Jared Goff,20.4,17,0.10,0.55,0.20,0.04,3.1
Sam LaPorta,TE,DET,25,Jared Goff,11.2,16,0.16,0.00,0.18,0.10,3.8
DJ Moore,WR,BUF,29,Josh Allen,14.1,17,0.20,0.02,0.18,0.22,5.8
Rome Odunze,WR,CHI,24,Caleb Williams,9.3,16,0.24,0.00,0.20,0.28,3.4
D'Andre Swift,RB,CHI,27,Caleb Williams,13.0,17,0.09,0.55,0.16,0.04,2.5
Jaylen Waddle,WR,DEN,27,Bo Nix,12.1,15,0.22,0.00,0.18,0.26,3.9
De'Von Achane,RB,MIA,24,Malik Willis,18.2,17,0.15,0.45,0.20,0.06,4.6
Josh Jacobs,RB,GB,28,Jordan Love,17.9,17,0.10,0.62,0.24,0.04,2.1
Jayden Reed,WR,GB,26,Jordan Love,11.4,17,0.22,0.03,0.18,0.22,3.2
Jonathan Taylor,RB,IND,27,Daniel Jones,15.3,14,0.07,0.62,0.26,0.03,1.3
Michael Pittman,WR,PIT,28,Aaron Rodgers,10.2,16,0.24,0.00,0.18,0.22,4.3
Saquon Barkley,RB,PHI,29,Jalen Hurts,22.1,16,0.08,0.58,0.22,0.03,2.1
AJ Brown,WR,NE,29,Drake Maye,16.4,13,0.26,0.00,0.24,0.30,5.2
