team,season,oc_name,prev_oc_name,implied_total,sos_qb,sos_rb,sos_wr,sos_te,sos_playoff_mult
ARI,2025,Drew Petzing,Drew Petzing,22.5,1.01,1.00,1.02,0.99,1.00
ATL,2025,Zac Robinson,Zac Robinson,23.5,1.00,1.02,1.01,1.00,1.02
BAL,2025,Todd Monken,Todd Monken,27.0,0.98,0.99,0.97,1.01,0.96
BUF,2025,Joe Brady,Joe Brady,27.5,0.99,1.01,0.98,1.00,0.99
CAR,2025,Dave Canales,Dave Canales,21.0,1.03,1.04,1.02,1.01,1.05
CHI,2025,Ben Johnson,Thomas Brown,24.0,1.04,1.02,1.06,1.03,1.05
CIN,2025,Dan Pitcher,Dan Pitcher,26.0,1.03,1.00,1.05,1.02,1.06
CLE,2025,Kevin Stefanski,Kevin Stefanski,19.5,1.02,1.01,1.03,1.00,1.02
DAL,2025,Brian Schottenheimer,Brian Schottenheimer,24.5,1.01,1.00,1.02,1.01,1.03
DEN,2025,Sean Payton,Sean Payton,24.0,0.99,1.00,0.98,0.99,0.97
DET,2025,John Morton,Ben Johnson,27.5,1.00,0.98,1.01,1.00,0.97
GB,2025,Matt LaFleur,Matt LaFleur,24.5,0.97,0.99,0.96,0.98,0.95
HOU,2025,Nick Caley,Bobby Slowik,23.5,1.01,1.00,1.02,1.00,1.01
IND,2025,Shane Steichen,Shane Steichen,22.5,1.01,1.03,1.00,1.02,1.04
JAX,2025,Liam Coen,Press Taylor,22.0,1.02,1.01,1.03,1.01,1.02
KC,2025,Andy Reid,Andy Reid,26.0,0.99,1.00,0.98,1.00,0.98
LV,2025,Chip Kelly,Scott Turner,21.0,1.02,1.03,1.01,1.00,1.03
LAC,2025,Greg Roman,Greg Roman,22.5,1.00,1.01,0.99,1.00,1.00
LAR,2025,Sean McVay,Sean McVay,25.0,0.98,1.00,0.99,0.99,0.98
MIA,2025,Mike McDaniel,Mike McDaniel,23.5,1.02,1.05,1.03,1.01,1.02
MIN,2025,Kevin O'Connell,Kevin O'Connell,24.5,0.99,1.00,0.98,1.00,0.97
NE,2025,Josh McDaniels,Alex Van Pelt,22.0,1.02,1.01,1.03,1.02,1.03
NO,2025,Kellen Moore,Klint Kubiak,20.5,1.03,1.02,1.04,1.01,1.04
NYG,2025,Mike Kafka,Mike Kafka,20.5,1.04,1.02,1.05,1.01,1.05
NYJ,2025,Tanner Engstrand,Nathaniel Hackett,20.0,1.03,1.02,1.04,1.00,1.04
PHI,2025,Kevin Patullo,Kellen Moore,27.0,0.98,1.01,0.97,0.99,0.96
PIT,2025,Arthur Smith,Arthur Smith,21.5,1.01,1.00,1.02,1.03,1.01
SF,2025,Kyle Shanahan,Kyle Shanahan,26.5,1.00,1.02,1.01,1.00,1.01
SEA,2025,Klint Kubiak,Ryan Grubb,23.0,1.01,1.00,1.02,1.00,1.02
TB,2025,Josh Grizzard,Liam Coen,24.5,1.00,1.01,1.01,1.00,1.00
TEN,2025,Brian Callahan,Brian Callahan,20.5,1.03,1.02,1.04,1.01,1.04
WAS,2025,Kliff Kingsbury,Kliff Kingsbury,25.5,0.99,1.01,0.98,1.00,0.98
League_Average,2025,League_Average,League_Average,23.0,1.00,1.00,1.00,1.00,1.00
